Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Label
-637.6639,16.463884,13.91466,12.036448,10.056156,8.674667,7.973628,8.375761,9.351368,8.957209,8.241219,8.650961,7.546969,0.0
-639.47266,13.702004,12.769983,11.652811,10.764009,9.341957,8.54124,8.845346,8.432104,9.646071,7.766388,7.6566343,7.5271845,0.0
-446.41754,121.11047,-2.9772935,29.447412,4.795246,-3.7602482,-2.5887015,-17.722326,-4.9832916,7.85173,-5.7004824,-0.48230493,-4.285621,0.0
-240.05548,121.816666,-37.582767,34.66575,-14.845955,-21.918327,-1.7329551,-24.287903,-5.889147,10.803867,-14.675379,3.3698678,-11.277475,0.0
-155.75768,102.44804,-58.85046,20.725597,-27.969154,-31.545736,-0.9721955,-23.394226,2.3383563,14.70516,-16.265379,-1.419035,-18.85093,0.0
-133.7576,84.76224,-87.73517,0.3781193,-47.68203,-29.266146,6.8307695,-11.820272,6.045785,14.731906,-24.411686,-7.9714713,-21.598175,0.0
-128.0675,88.13466,-106.73892,-3.9420142,-45.22398,-14.500084,10.973908,-6.9313235,2.4104362,9.936237,-34.817627,-14.456556,-23.879513,0.0
-151.78871,80.76131,-125.465034,-6.975733,-39.28334,-6.1761036,14.957653,-5.993272,-4.117497,7.304228,-30.044315,-10.725536,-20.355381,0.0
-166.75142,94.19922,-138.89328,-0.5576805,-27.212723,-0.45438838,16.20395,-10.302281,-17.154505,0.15860012,-26.57053,-8.727453,-15.414093,0.0
-173.63945,124.9698,-131.04834,0.42255884,-20.954071,0.7097302,14.301043,-12.47857,-18.262362,-2.7389874,-22.732264,-8.354702,-8.370427,0.0
-168.17566,125.52754,-138.17758,10.773593,-16.219696,3.5659928,14.026705,-8.583159,-21.46233,-4.672009,-26.797276,-12.213747,-3.923892,0.0
-177.57838,117.09952,-144.62134,12.681128,-13.116635,9.858204,10.466019,2.8668332,-24.508919,-5.241519,-26.942888,-13.481829,0.5614979,0.0
-210.2752,115.87059,-142.37427,10.894317,-10.834127,16.077328,3.9630833,11.914015,-26.452526,-7.48073,-26.512257,-12.347173,1.7388446,0.0
-253.89569,115.43199,-124.49178,2.1801245,-8.727232,27.021214,-7.562211,10.534485,-9.559874,-14.346884,-22.493126,-3.4824924,5.8239994,0.0
-317.6383,105.02396,-85.55,-10.110562,-7.438118,39.71296,-15.861723,6.777206,15.806335,-11.597431,-21.385365,5.886619,7.702125,0.0
-438.12817,66.64049,-48.773396,3.276584,-0.47122288,35.406525,0.56458354,-1.7431974,23.228586,5.0389595,-22.233917,2.804842,14.921586,0.0
-603.2107,28.289385,6.822479,26.763493,20.476633,16.119091,9.531399,3.47953,15.293549,4.209804,-10.460522,6.052722,11.011134,0.0
-634.7915,20.551346,16.52576,14.889769,14.400312,13.448191,10.853434,8.63282,8.382839,8.237477,7.390521,5.881398,5.045673,0.0
-435.0208,2.249383,-33.9566,13.459795,24.732246,-3.7077003,-8.56803,10.133736,1.8317181,-3.6549482,-11.695736,15.178478,0.91736805,0.0
-341.26123,6.623095,-33.04,7.706657,12.252932,-5.796547,-9.215466,5.919773,2.7042837,-7.282929,-11.483213,17.747562,-0.91459584,0.0
-341.2798,5.485126,-23.585306,14.9858265,0.63919824,-6.139663,-0.39849603,3.6793356,7.4758472,-7.664829,-9.144834,17.844915,-5.287361,0.0
-348.77792,0.9460329,-20.909801,31.53803,-2.7553291,-3.1308558,4.0357027,6.1750307,7.978213,-7.978999,-10.076757,12.456055,-4.7694144,0.0
-372.4604,-5.4175835,-28.13751,38.709732,-4.344551,0.9503232,-1.2320938,8.142505,11.82987,-2.1684356,-10.354961,12.920868,1.4578187,0.0
-423.2237,-6.525379,-30.6725,38.38113,-2.0042803,2.567637,-13.465385,3.2763188,13.721258,3.5183895,-12.463469,12.358084,8.6823435,0.0
